
▸ builder · net-g2-pnntask
  page-03  ✓   14 次调用    2.5 分  自检  3  图  2  skill 1  完成同输入、不同权重的先猜后揭晓对照交互与确定性重置；检查覆盖初始、左右选择及重置状态，JS/资源/越界/裁切均为 0，
      page-08 步 15  Check
      page-10 步  7  Write
  page-07  ✓   15 次调用    2.5 分  自检  2  图  2  skill 1  完成前向计算与“尚未学习”的转场页；最终检查：JS/资源错误 0，越界/裁切 0，字号合规，画面占用 55%。
  page-05  ✓   15 次调用    2.5 分  自检  3  图  4  skill 1  完成偏置滑块、加权和与零点门槛联动、边界态和复位；检查：JS/资源失败/越界/裁切均为 0，主要状态通过，画面占用检测为
  page-04  ✓   14 次调用    2.5 分  自检  2  图  2  skill 1  完成权重旋钮交互、正零负影响对比与复位；最终检查：JS/资源失败/越界/裁切均为 0，主要状态均通过，画面占用检测为 1
      page-13 步  1  Skill
      page-10 步  8  Check
      page-12 步  1  Skill
      page-11 步  6  Read
      page-15 步  1  Skill
      page-14 步  1  Skill
      page-13 步  2  Read
      [page-14] InternalServerError 等 6s 重试 1/8
      page-09 步 11  Bash
      page-15 步  2  Read
  page-08  ✓   16 次调用    2.7 分  自检  7  图  7  skill 1  完成预测值与半平方损失的配对互动，支持即时计算反馈、键盘/触控操作及确定性重置；最终检查：JS 错误 0、资源失败 0、
      page-15 步  3  Read
      page-13 步  3  Read
      page-12 步  2  Read
      page-16 步  1  Skill
      page-10 步  9  Patch
      page-15 步  4  Read
      page-09 步 12  Bash
      page-12 步  3  Read
      page-13 步  4  Read
      page-14 步  2  Read
      page-15 步  5  Read
      page-12 步  4  Read
      page-16 步  2  Read
      page-14 步  3  Read
      page-13 步  5  Read
      page-09 步 13  Patch
      page-11 步  7  Edit
      page-16 步  3  Read
      page-14 步  4  Read
      page-10 步 10  Patch
      page-15 步  6  Read
      page-12 步  5  Read
      page-16 步  4  Read
      page-11 步  8  Check
      page-13 步  6  Read
      page-14 步  5  Read Bash
      page-16 步  5  Read
      page-10 步 11  Check
      page-09 步 14  Check
      page-12 步  6  Read Read
      page-14 步  6  Read Read
      page-13 步  7  Check
      page-16 步  6  Read
  page-09  ✓   15 次调用    2.1 分  自检  2  图  2  skill 1  完成可扫描的权重—损失曲线、实时读数、24 个测点记录与复位交互；最终检查：JS/资源错误 0、越界 0、裁切 0、字号
      page-10 步 12  Check
      page-17 步  1  Skill
      page-13 步  8  Check
      page-17 步  2  Read
      page-17 步  3  Read
      page-10 步 13  Patch
      page-13 步  9  Check
      page-17 步  4  Read
      page-17 步  5  Read
      page-16 步  7  Write
      page-15 步  7  Write
      page-13 步 10  Check
      page-12 步  7  Edit
      page-11 步  9  Write
      page-17 步  6  Read
      page-15 步  8  Check
      page-16 步  8  Check
      page-12 步  8  Check
      page-10 步 14  Patch
      page-11 步 10  Check
      page-14 步  7  Write
      page-17 步  7  Check
      page-14 步  8  Check
      page-10 步 15  Patch
      page-17 步  8  Check
      page-12 步  9  Patch
      page-10 步 16  Patch
      page-17 步  9  Read
      page-16 步  9  Patch
      page-11 步 11  Patch
      page-12 步 10  Check
      page-15 步  9  Patch
  page-16  ✓   10 次调用    1.4 分  自检  1  图  1  skill 1  完成同一网络中前向计算与反向责任分配的对照图；最终检查：JS 错误 0、资源失败 0、越界 0、裁切 0、最小字号 15
      page-10 步 17  Check
      page-18 步  1  Skill
      page-14 步  9  Patch
      page-18 步  2  Read
      page-18 步  3  Read
  page-10  ✓   18 次调用    3.0 分  自检  4  图  3  skill 1  已构建左右试探损失曲线与方向选择交互，支持键盘操作和确定性重置；最终检查：JS/资源错误 0、越界 0、裁切 0，主要状
      page-18 步  4  Read
      page-13 步 11  Write
      page-19 步  1  Skill
      page-12 步 11  Patch
      page-15 步 10  Check
      page-11 步 12  Edit
      page-13 步 12  Check
      page-18 步  5  Read
      page-19 步  2  Read
      page-19 步  3  Read
      page-11 步 13  Check
      page-14 步 10  Patch
      page-18 步  6  Read Read
      page-12 步 12  Look
      page-19 步  4  Read
      page-14 步 11  Check
      page-18 步  7  Read
      page-19 步  5  Read
      page-11 步 14  Edit
      page-17 步 10  Write
      page-15 步 11  Patch
      page-19 步  6  Read
      page-11 步 15  Check
      page-17 步 11  Check
      page-13 步 13  Patch
      page-19 步  7  Read
      page-12 步 13  Patch
      page-14 步 12  Patch
      page-11 步 16  Check
      page-15 步 12  Patch
      page-13 步 14  Patch
      page-17 步 12  Patch
      page-12 步 14  Patch
      page-14 步 13  Check
      page-17 步 13  Check
      page-11 步 17  Patch
      page-15 步 13  Check
      page-12 步 15  Patch
      page-14 步 14  Patch
      page-13 步 15  Check
      page-18 步  8  Write
  page-17  ✓   14 次调用    2.1 分  自检  4  图  4  skill 1  完成 2→10→1 隐藏神经元响应实验，支持拖动、滑块、键盘选择与复位；最终检查：JS/资源错误 0，越界/裁切 0，主
      page-14 步 15  Check
      page-11 步 18  Check
  page-15  ✓   14 次调用    2.8 分  自检  3  图  4  skill 1  已实现单次反传权重更新、完成锁定与确定性重置；最终检查：JS/资源错误 0、越界 0、裁切 0、字号合规，初始/更新/重
      page-20 步  1  Skill
      page-21 步  1  Skill
      page-18 步  9  Check
      page-12 步 16  Edit
      page-20 步  2  Read
  page-13  ✓   16 次调用    2.8 分  自检  6  图  7  skill 1  完成权重 0.4/0.5/0.6 切换、预测与损失联动比较及确定性复位；最后检查各主要状态均 JS 错误 0、资源失败 
      page-19 步  8  Write
      page-21 步  2  Read
  page-11  ✓   19 次调用    3.3 分  自检  6  图  4  skill 1  完成三种学习率的同步损失轨迹对比，支持播放、暂停、单步与重置；最终检查：JS 错误 0、资源失败 0、越界 0、裁切 0
      page-22 步  1  Skill
      page-12 步 17  Check
      page-14 步 16  Edit
      page-20 步  3  Read
      page-21 步  3  Read
      page-19 步  9  Check
      page-22 步  2  Read
      page-20 步  4  Read
      page-14 步 17  Check
      page-22 步  3  Read
      page-21 步  4  Read
      page-20 步  5  Read
      page-18 步 10  Patch
      page-22 步  4  Read
      page-12 步 18  Read
      page-21 步  5  Read
  page-14  ✓   18 次调用    3.1 分  自检  5  图  4  skill 1  完成 0–4 步可逆误差回传追踪；最终检查：JS/资源错误 0、越界 0、裁切 0、文字叠压 0，画面占用检测 19%。
      page-20 步  6  Read
      [page-18] InternalServerError 等 5s 重试 1/8
      page-19 步 10  Patch
      page-22 步  5  Read
      page-21 步  6  Read
      page-22 步  6  Read Read
      page-19 步 11  Check
      page-12 步 19  Read
      page-18 步 11  Patch
  page-19  ✓   12 次调用    1.7 分  自检  2  图  2  skill 1  已完成三种网络深度的同步训练、单步/暂停、单列突出与确定性复位对照；最终检查：JS 错误 0、资源失败 0、越界 0、裁
      page-12 步 20  Patch
      page-18 步 12  Patch
      page-21 步  7  Write
      page-22 步  7  Write
      page-21 步  8  Check
      page-22 步  8  Check
      page-18 步 13  Check
      page-20 步  7  Write
      page-12 步 21  Patch
      page-20 步  8  Patch
  page-22  ✓    9 次调用    1.0 分  自检  1  图  1  skill 1  完成学习闭环收束页：以“预测→量误差→传回影响→修正参数→再预测”呈现核心主张；检查结果：JS 错误 0、资源失败 0、
  page-12  ✓   22 次调用    4.0 分  自检  3  图  3  skill 1  已完成单参数试探与多参数尺度跃迁的静态对比页；最终检查：JS/资源错误 0、越界 0、裁切 0、文字叠压 0、字号合规，
      page-21 步  9  Patch
  page-18  ✓   14 次调用    2.4 分  自检  2  图  2  skill 1  构建可启停、暂停、复位且可复现的神经网络训练台；最终检查：JS/资源错误 0、越界 0、裁切 0、文字叠压 0，画面占用
      page-20 步  9  Check
      page-20 步 10  Patch
      page-21 步 10  Patch
      page-20 步 11  Patch
      page-21 步 11  Patch
      page-20 步 12  Patch
      page-21 步 12  Check
      page-20 步 13  Check
  page-21  ✓   13 次调用    2.2 分  自检  2  图  2  skill 1  已完成“训练记录→新样本检查→谨慎结论”的静态证据链；最终检查：JS/资源错误 0，越界 0，裁切 0，字号合规，画面占
      page-20 步 14  Check
  page-20  ✓   15 次调用    2.6 分  自检  3  图  2  skill 1  完成四步拖放/键盘排序、首处依赖断裂提示、成功依据展开与确定性重置；检查各主要状态：JS/资源失败/越界/裁切均为 0，

  22/22 页交付   墙钟 7.8 分
  每页调用数 9–22,中位 14   合计 317
  自检合计 66(Check 66 / 经 Bash 0)   Patch 55   Edit 9   Skill 合计 22
  进上下文的图 65 张(每页 3.0;Opus 那条线是 6.0),被挤出 25 张
  指派指导 22 项,实际读到 22 项；reference 读取 29 次，workflow script 0 次
  读取次数(前 6):CHASSIS.md 22  CONTRACT.md 22  interaction-recipes.md 14  relationship-compositions.md 7  framing-and-density.md 4  LIBS.md 4
