song_title,register,year,points,peak_rank
Dynamite,4,1984,999,15
Nobody Told Me,7,1984,993,5
Stay The Night,8,1984,979,16
You Can't Get What You Want,7,1984,946,15
Alibis,8,1984,946,29
Girls,7,1984,944,16
Naughty Naughty,8,1984,936,23
Panama,8,1984,935,13
The Authority Song,7,1984,932,15
Hello Again,6,1984,931,20
I'll Wait,8,1984,931,13
Love Light In Flight,6,1984,923,17
Walking On A Thin Line,6,1984,919,18
Understanding,6,1984,910,17
Mr. Telephone Man,9,1984,909,12
No Way Out,9,1984,906,23
Don't Answer Me,8,1984,906,15
"Run, Runaway",8,1984,903,20
The Language Of Love,7,1984,901,13
Sexy Girl,6,1984,882,20
Go Insane,7,1984,874,23
Are We Ourselves?,7,1984,871,15
Tenderness,6,1984,860,27
Hands To Heaven,5,1988,1744,2
"Wild, Wild West",7,1988,1695,1
Waiting For A Star To Fall,8,1988,1691,5
Look Away,7,1988,1684,1
"Kokomo (From""Cocktail"" )",8,1988,1663,1
Wishing Well,8,1988,1662,1
The Flame,9,1988,1635,1
Angel,9,1988,1613,3
My Prerogative,9,1988,1597,1
"Baby, I Love Your Way/Freebird Medley",6,1988,1583,1
You Got It (The Right Stuff),6,1988,1575,3
Pour Some Sugar On Me,5,1988,1573,2
Sweet Child O' Mine,10,1988,1562,1
Groovy Kind Of Love,5,1988,1541,1
Every Rose Has Its Thorn,6,1988,1523,1
My Heart Can't Tell You No,9,1988,1521,4
Hold On To The Nights,6,1988,1479,1
Endless Summer Nights,7,1988,1436,2
I Don't Wanna Live Without Your Love,6,1988,1433,3
Simply Irresistible,7,1988,1428,2
Make Me Lose Control,8,1988,1421,3
"Get Outta My Dreams, Get Into My Car",8,1988,1407,1
Please Don't Go Girl,8,1988,1395,10
Love Bites,8,1988,1384,1
Bad Medicine,8,1988,1370,1
Born To Be My Baby,5,1988,1368,3
Sign Your Name,5,1988,1364,4
Shattered Dreams,7,1988,1360,2
Walk On Water,6,1988,1357,9
Rocket 2 U,8,1988,1357,6
Electric Blue,8,1988,1352,7
Roll With It,8,1988,1349,1
When The Children Cry,7,1988,1346,3
One More Try,7,1988,1330,1
If It Isn't Love,5,1988,1315,7
I Don't Wanna Go On With You Like That,6,1988,1312,2
I Remember Holding You,7,1988,1299,8
Two Hearts,8,1988,1296,1
I Want Her,4,1988,1290,5
Man In The Mirror,10,1988,1280,1
Nite And Day,9,1988,1278,7
Forever Young,9,1988,1275,12
Don't Know What You Got (Till It's Gone),8,1988,1273,12
Father Figure,6,1988,1267,1
Never Tear Us Apart,7,1988,1266,7
Together Forever,7,1988,1256,1
Armageddon It,8,1988,1251,3
Two Occasions,8,1988,1251,10
Desire,7,1988,1243,3
When It's Love,9,1988,1234,5
One Good Woman,9,1988,1226,4
Wait,7,1988,1226,8
Devil Inside,5,1988,1223,2
Just Got Paid,8,1988,1213,10
Monkey,7,1988,1195,1
I Don't Want Your Love,8,1988,1192,4
New Sensation,7,1988,1188,3
Don't Be Cruel,8,1988,1168,4
Welcome To The Jungle,10,1988,1162,7
Finish What Ya Started,10,1988,1150,13
Don't You Know What The Night Can Do?,7,1988,1149,6
Nothin' But A Good Time,8,1988,1142,6
Perfect World,7,1988,1131,3
I Don't Want To Live Without You,7,1988,1129,5
She Wants To Dance With Me,5,1988,1127,6
Walking Away,7,1988,1118,9
Just Like Paradise,7,1988,1113,6
The Valley Road,7,1988,1111,5
Everything Your Heart Desires,7,1988,1104,3
Dial My Heart,7,1988,1078,13
Beds Are Burning,8,1988,1076,17
Dirty Diana,9,1988,1070,1
(Sittin' On) The Dock Of The Bay,10,1988,1058,11
Smooth Criminal,10,1988,1058,7
Holding On,8,1988,1044,11
It Would Take A Strong Strong Man,7,1988,1043,10
Always On My Mind,7,1988,1030,4
Kissing A Fool,4,1988,1023,5
Hysteria,7,1988,1019,10
Here With Me,7,1988,1017,20
I Beg Your Pardon,3,1988,1002,15
A Little Respect,7,1988,995,14
Lost In You,8,1988,988,12
Spy In The House Of Love,5,1988,984,16
Dreaming,7,1988,979,16
Rag Doll,8,1988,959,17
Fallen Angel,7,1988,951,12
Check It Out,6,1988,938,14
Pamela,7,1988,937,22
True Love,8,1988,926,13
Alphabet St.,6,1988,924,8
You Don't Know,8,1988,919,20
I Wish I Had A Girl,8,1988,910,20
The Colour Of Love,7,1988,909,17
One Step Up,7,1988,902,13
Wild World,6,1988,894,25
Early In The Morning,4,1988,879,19
Angel Of Harlem,7,1988,873,14
Be Still My Beating Heart,8,1988,869,15
Tall Cool One,7,1988,849,25
Just The Way You Are,8,2010,3950,1
Dynamite,7,2010,3845,2
F**k You! (Forget You),7,2010,3824,2
I Like It,7,2010,2896,4
Grenade,8,2010,2778,1
OMG,5,2010,2620,1
Break Your Heart,8,2010,2507,1
Just A Dream,5,2010,2417,3
Down On Me,7,2010,2338,4
Cooler Than Me,5,2010,2279,6
Hey Baby (Drop It To The Floor),8,2010,2233,7
Animal,7,2010,2228,13
Bottoms Up,7,2010,2215,6
Secrets,8,2010,2145,21
Tonight (I'm Lovin' You),5,2010,2126,4
Billionaire,7,2010,2121,4
The Lazy Song,8,2010,2022,4
Whataya Want From Me,6,2010,1955,10
Ridin' Solo,6,2010,1825,9
Find Your Love,6,2010,1758,5
Stuck Like Glue,5,2010,1720,17
Deuces,7,2010,1710,14
Yeah 3X,6,2010,1703,15
Baby,8,2010,1580,5
The Time (Dirty Bit),6,2010,1546,4
Misery,8,2010,1460,14
More,6,2010,1437,15
Please Don't Go,7,2010,1380,16
Rocketeer,9,2010,1355,7
I Made It (Cash Money Heroes),8,2010,1226,21
There Goes My Baby,8,2010,1190,25
My First Kiss,8,2010,1183,9
Hey Daddy (Daddy's Home),6,2010,1170,24
Love Like Woe,8,2010,1086,27
Somewhere With You,6,2010,1058,31
My Kinda Party,5,2010,983,39
"Lover, Lover",6,2010,954,29
If I Had You,6,2010,949,30
Hot Tottie,5,2010,945,21
If It's Love,7,2010,935,34
The Boys of Fall,5,2010,923,18
Pray For You,5,2010,921,34
I Won't Let Go,7,2010,914,31
Can't Be Friends,8,2010,907,43
This Afternoon,8,2010,894,34
Rain Is A Good Thing,4,2010,893,37
Marry Me,7,2010,881,34
Free,5,2010,875,34
Pretty Good At Drinkin' Beer,5,2010,856,41
Gimmie That Girl,5,2010,841,34
Who Are You When I'm Not Looking,5,2010,831,46
Love Like Crazy,7,2010,825,45
Let Me Down Easy,5,2010,823,46
Gettin' Over You,6,2010,807,31
Solo,7,2010,795,32
Come Back Song,5,2010,777,37
September,7,2010,768,36
Never Say Never,7,2010,759,8
Somebody To Love,7,2010,744,15
Hillbilly Bone,7,2010,740,40
Rhythm of Love,8,2010,739,38
Highway 20 Ride,7,2010,737,40
Lil Freak,6,2010,733,40
Waiting For The End,7,2010,729,42
2012 (It Ain't The End),8,2010,706,31
Water,5,2010,675,42
Why Wait,7,2010,672,48
Neighbors Know My Name,8,2010,670,43
Memories,4,2010,650,46
Put You In A Song,7,2010,646,53
The Man I Want To Be,5,2010,628,48
This,5,2010,626,51
Farmer's Daughter,4,2010,624,47
Voices,5,2010,604,53
Little Lion Man,5,2010,592,45
Fall For Your Type,6,2010,573,50
A Little More Country Than That,6,2010,555,42
Anything Like Me,3,2010,549,48
She Won't Be Lonely Long,5,2010,542,53
Hello World,5,2010,527,58
Crazy Town,5,2010,518,51
Sex Therapy,9,2010,517,54
Roll With It,5,2010,509,55
Someone Else Calling You Baby,7,2010,496,56
The Breath You Take,4,2010,469,63
Ain't Back Yet,7,2010,467,50
Lay It Down,9,2010,462,64
All About Tonight,5,2010,450,37
All Over Me,5,2010,436,59
'Til Summer Comes Around,6,2010,419,58
Maybe,8,2010,405,56
All I Want Is You,7,2010,370,58
No BS,8,2010,336,62
Beautiful Monster,7,2010,328,53
Shake,8,2010,308,54
Keep On Lovin' You,6,2010,305,68
The Catalyst,9,2010,302,27
Hell On The Heart,5,2010,264,67
Smoke A Little Smoke,5,2010,235,78
I Gotta Get To You,6,2010,220,70
Shape Of You,7,2017,5279,1
Perfect,7,2017,4818,1
Meant To Be,5,2017,4228,2
Despacito,6,2017,4104,1
Believer,7,2017,3993,4
Thunder,6,2017,3479,4
Feel It Still,9,2017,3262,4
Something Just Like This,6,2017,3215,3
Attention,8,2017,3018,5
Location,7,2017,2885,16
There's Nothing Holdin' Me Back,7,2017,2673,6
Young Dumb & Broke,6,2017,2365,18
Mi Gente,6,2017,2315,3
Slow Hands,4,2017,2265,11
I Fall Apart,7,2017,2234,16
Too Good At Goodbyes,6,2017,2121,4
Strip That Down,5,2017,2103,10
Castle On The Hill,7,2017,1981,6
Whatever It Takes,5,2017,1816,12
Paris,3,2017,1661,6
How Long,8,2017,1616,21
Heaven,4,2017,1593,15
In Case You Didn't Know,5,2017,1537,19
Wait,5,2017,1449,24
Sky Walker,7,2017,1277,29
Passionfruit,4,2017,1271,8
Cold,6,2017,1254,16
Silence,4,2017,1245,30
What Ifs,4,2017,1190,26
Feels,7,2017,1105,20
Marry Me,6,2017,1103,30
Hurricane,7,2017,1064,31
Small Town Boy,5,2017,1010,36
Swalla,8,2017,993,29
When It Rains It Pours,5,2017,990,33
No Promises,6,2017,937,38
Sign Of The Times,7,2017,931,4
Greatest Love Story,7,2017,871,45
Pills And Automobiles,5,2017,867,46
Unforgettable,5,2017,838,47
Craving You,6,2017,805,39
Like I Loved You,6,2017,714,46
Yours,5,2017,703,49
Felices Los 4,7,2017,698,48
My Girl,5,2017,695,39
2U,6,2017,694,16
Drinkin' Problem,5,2017,684,45
"God, Your Mama, And Me",5,2017,636,46
I'll Name The Dogs,4,2017,609,56
No Such Thing As A Broken Heart,5,2017,602,46
Heartache On The Dance Floor,6,2017,595,47
Five More Minutes,5,2017,578,44
Light It Up,5,2017,575,57
Broken Halos,7,2017,555,45
Losing Sleep,5,2017,552,60
You Look Good,5,2017,552,59
Glorious,5,2017,515,49
Written In The Sand,5,2017,512,51
Echame La Culpa,6,2017,510,47
Escapate Conmigo,7,2017,504,63
Do I Make You Wanna,4,2017,484,47
Think A Little Less,5,2017,472,54
Black,7,2017,465,56
Any Ol' Barstool,4,2017,464,52
Flatliner,7,2017,457,56
Round Here Buzz,4,2017,453,56
You Broke Up With Me,5,2017,437,62
The Weekend,6,2017,435,64
Privacy,7,2017,435,62
Losin Control,7,2017,435,62
All On Me,5,2017,429,52
Fast,4,2017,383,58
Hometown Girl,5,2017,362,56
If I Told You,5,2017,356,53
Back To You,8,2017,354,40
Every Time I Hear That Song,5,2017,349,56
All The Pretty Girls,5,2017,334,63
How Not To,7,2017,326,57
Sober Saturday Night,5,2017,323,47
Seein' Red,5,2017,315,55
Feliz Navidad,7,2017,307,29
MIC Drop,6,2017,270,28
Fix A Drink,5,2017,268,67
Somebody Else Will,7,2017,253,59
Yours If You Want It,7,2017,235,71
They Don't Know,6,2017,234,67
More Girls Like You,6,2017,190,66
Way Down We Go,6,2017,180,54
Weak,7,2017,169,73
Questions,7,2017,168,78
Blem,4,2017,156,38
It Ain't My Fault,2,2017,149,79
Signs,6,2017,147,36
Teenage Fever,7,2017,142,35
Too Much To Ask,5,2017,126,66
Prblms,4,2017,119,72
Galway Girl,7,2017,113,53
Ask Me How I Know,5,2017,103,71
Not Nice,5,2017,98,82
Human,5,2017,93,74
Sucker,9,2019,1437,1
Talk,7,2019,1367,3
Baby Shark,8,2019,1189,32
Whiskey Glasses,7,2019,808,17
God's Country,6,2019,741,19
Good As You,5,2019,728,36
Eyes On You,6,2019,724,38
Look What God Gave Her,5,2019,684,32
Who Do You Love,7,2019,635,52
Here Tonight,6,2019,626,42
Here Tonight,6,2019,626,42
If I Can't Have You,9,2019,534,2
Rumor,7,2019,521,36
I Don't Care,5,2019,488,2
Undecided,8,2019,478,35
Take It From Me,5,2019,468,46
Take It From Me,5,2019,468,46
"Hey Look Ma, I Made It",8,2019,410,31
Make It Sweet,5,2019,408,56
Make It Sweet,5,2019,408,56
Cool,8,2019,398,27
Beer Never Broke My Heart,6,2019,369,22
What Makes You Country,5,2019,351,54
Lost In The Fire,7,2019,336,27
Night Shift,7,2019,323,56
Love Ain't,5,2019,314,50
Down To The Honkytonk,2,2019,313,65
Down To The Honkytonk,2,2019,313,65
Talk You Out Of It,6,2019,238,77
Calma,4,2019,231,71
I've Been Waiting,7,2019,210,62
Love Someone,7,2019,202,70
There Was This Girl,5,2019,186,70
Cross Me,7,2019,174,34
Knockin' Boots,5,2019,166,61
Someone You Loved,8,2019,157,55
On My Way To You,5,2019,153,78
One That Got Away,3,2019,148,67
Body,5,2019,142,80
Burn Out,5,2019,138,63
Soltera,4,2019,132,73
Easier,7,2019,129,48
All To Myself,6,2019,95,71
No Guidance,8,2019,92,9
Some Of It,5,2019,73,74
My Bad,6,2019,72,55
Roses,5,2019,63,85
Roses,5,2019,63,85
Blue Christmas,7,2019,61,40
Let Me Down Slowly,7,2019,57,79
Let Me Down Slowly,7,2019,57,79
SOS,7,2019,56,68
Rearview Town,6,2019,50,68
Celebrate,6,2019,49,52
Jealous,7,2019,44,57
Outta My Head,6,2019,43,58
Even Though I'm Leaving,4,2019,39,62
The Git Up,2,2019,35,66
Blue On Black,4,2019,35,66
Callaita,4,2019,32,69
Te Robare,6,2019,28,91
Power Is Power,8,2019,20,90
Heaven,8,2019,18,83
Don't Pretend,8,2019,17,84
Paradise,8,2019,15,91
La La Land,4,2019,15,92
Raised On Country,6,2019,15,90
Bad Luck,6,2019,14,87
Light It Up,4,2019,11,90
Shut Up About Politics,5,2019,10,91
Amor Genuino,7,2019,9,92
Solo de Mi,5,2019,8,93
Only Human,8,2019,8,93
Right Back,4,2019,8,93
I Guess I Just Feel Like,4,2019,7,94
Inmortal,7,2019,6,95
Make It Right,7,2019,6,95
Slow Dancing In The Dark,7,2019,5,96
HP,6,2019,5,96
Otro Trago,7,2019,1,100
